provincia,dedicacion,tipo_contrato,salario_bruto_ars,salario_neto_ars,sueldo_dolarizado,seniority,rol,anios_experiencia,modalidad,genero,tamanio_empresa,lenguajes,conformidad_ingresos,buscando_trabajo,lenguaje_principal,experiencia_bucket
Santa Fe,Full-Time,Staff (planta permanente),2850000.0,2350000.0,False,Senior,Business Analyst,12,100% presencial,Hombre Cis,De 201 a 500 personas,"Python, SQL",1,"Sí, estoy buscando activamente.",Python,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Freelance,1300000.0,1300000.0,False,Junior,Product Owner,2,100% remoto,Mujer Cis,De 11  a 50  personas,"CSS, HTML",2,"No, pero escucho ofertas.",CSS,0-2 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2500000.0,,False,Senior,Designer,7,Híbrido (presencial y remoto),Mujer Cis,De 101 a 200 personas,Ninguno de los anteriores,3,"No, pero escucho ofertas.",Ninguno de los anteriores,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4436528.0,3668222.0,False,Senior,Manager / Director,9,Híbrido (presencial y remoto),Hombre Cis,De 51 a 100 personas,".NET, Bash/Shell, C#, HTML, Python, SQL",3,"No, pero escucho ofertas.",.NET,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2450000.0,2000000.0,False,Semi-Senior,Developer,3,100% remoto,Hombre Cis,De 51 a 100 personas,"HTML, Javascript, PHP, TypeScript",2,"No, pero escucho ofertas.",HTML,3-5 años
Buenos Aires,Full-Time,Staff (planta permanente),4500000.0,3800000.0,False,Senior,SysAdmin / DevOps / SRE,6,100% remoto,Hombre Cis,De 51 a 100 personas,"Bash/Shell, PHP, Python, SQL",3,"No, pero escucho ofertas.",Bash/Shell,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2400000.0,2000000.0,False,Senior,QA / Tester,19,100% remoto,Mujer Cis,De 101 a 200 personas,Ninguno de los anteriores,2,"Sí, estoy buscando activamente.",Ninguno de los anteriores,10+ años
Buenos Aires,Full-Time,Staff (planta permanente),1300000.0,1100000.0,False,Junior,Developer,1,100% remoto,Mujer Cis,De 11  a 50  personas,"HTML, Java, SQL, TypeScript",3,"Sí, estoy buscando activamente.",HTML,0-2 años
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),2197000.0,1823510.0,False,Semi-Senior,QA / Tester,5,Híbrido (presencial y remoto),Hombre Cis,De 101 a 200 personas,"Javascript, TypeScript",1,"No, pero escucho ofertas.",Javascript,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2000000.0,2400000.0,False,Junior,Networking,2,Híbrido (presencial y remoto),Hombre Cis,De 501 a 1000 personas,Ninguno de los anteriores,1,"Sí, estoy buscando activamente.",Ninguno de los anteriores,0-2 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),5154700.0,4200000.0,False,Senior,Middleware,14,Híbrido (presencial y remoto),Hombre Cis,De 501 a 1000 personas,"ABAP, Groovy, Java, SQL",2,"No, pero escucho ofertas.",ABAP,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1155600.0,960000.0,False,Junior,Developer,2,Híbrido (presencial y remoto),Hombre Cis,De 11  a 50  personas,"Javascript, PHP, Rust, SQL, TypeScript",2,"No, pero escucho ofertas.",Javascript,0-2 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3800000.0,2998000.0,False,Semi-Senior,Developer,5,Híbrido (presencial y remoto),Hombre Cis,Más de 10000 personas,"CSS, Go, HTML, Java, Javascript, SQL, TypeScript",2,"No, pero escucho ofertas.",CSS,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,2000000.0,933649.0,False,Senior,Diseño web. diseño UI,8,Híbrido (presencial y remoto),Mujer Cis,De 11  a 50  personas,"CSS, HTML",1,"Sí, estoy buscando activamente.",CSS,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,1800000.0,1500000.0,False,Semi-Senior,SysAdmin / DevOps / SRE,5,100% presencial,Hombre Cis,De 201 a 500 personas,"Python, SQL",1,"Sí, estoy buscando activamente.",Python,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1787453.0,1483586.0,False,Semi-Senior,QA / Tester,5,Híbrido (presencial y remoto),Mujer Cis,De 11  a 50  personas,"Javascript, Python, SQL",2,"No, pero escucho ofertas.",Javascript,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),5220000.0,3500000.0,False,Senior,Manager / Director,6,100% remoto,Hombre Cis,De 101 a 200 personas,"C++, Python",2,"No, pero escucho ofertas.",C++,6-10 años
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),2036486.0,1730284.0,False,Junior,Developer,0,Híbrido (presencial y remoto),Hombre Cis,De 2001a 5000 personas,"CSS, HTML, Javascript",2,"No, estoy muy conforme.",CSS,0-2 años
Córdoba,Full-Time,Staff (planta permanente),3985000.0,3250000.0,False,Senior,Data Scientist,6,100% remoto,Hombre Cis,De 501 a 1000 personas,"Bash/Shell, HTML, Javascript, Python, SQL",3,"No, pero escucho ofertas.",Bash/Shell,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),5021000.0,4217000.0,False,Senior,Developer,16,100% remoto,Hombre Cis,De 501 a 1000 personas,".NET, Javascript, TypeScript",2,"No, pero escucho ofertas.",.NET,10+ años
Santa Fe,Full-Time,Staff (planta permanente),4000000.0,3200000.0,False,Semi-Senior,Technical Leader,5,Híbrido (presencial y remoto),Hombre Cis,De 11  a 50  personas,Ninguno de los anteriores,4,"No, estoy muy conforme.",Ninguno de los anteriores,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4600000.0,3800000.0,False,Senior,BI Analyst / Data Analyst,8,Híbrido (presencial y remoto),Hombre Cis,De 1001 a 2000 personas,"Python, SQL",2,"Sí, estoy buscando activamente.",Python,6-10 años
Catamarca,Full-Time,Staff (planta permanente),2833000.0,2590000.0,False,Semi-Senior,HelpDesk,5,100% remoto,Hombre Cis,De 11  a 50  personas,".NET, C#, CSS, HTML, SQL",3,"No, pero escucho ofertas.",.NET,3-5 años
Córdoba,Full-Time,Staff (planta permanente),1250000.0,1050000.0,False,Junior,Marketing,2,Híbrido (presencial y remoto),Hombre Cis,De 201 a 500 personas,Ninguno de los anteriores,2,"No, pero escucho ofertas.",Ninguno de los anteriores,0-2 años
Buenos Aires,Full-Time,Staff (planta permanente),1300000.0,1100000.0,False,Senior,SysAdmin / DevOps / SRE,16,100% presencial,Mujer Cis,De 51 a 100 personas,".NET, HTML, Java",2,"No, pero escucho ofertas.",.NET,10+ años
Córdoba,Full-Time,Staff (planta permanente),1200000.0,960000.0,False,Junior,Designer,1,100% presencial,Hombre Cis,De 11  a 50  personas,"CSS, HTML, Java, Javascript, Python",3,"No, pero escucho ofertas.",CSS,0-2 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2800000.0,2440000.0,False,Junior,Manager / Director,1,Híbrido (presencial y remoto),Hombre Cis,De 2 a 10 personas,Ninguno de los anteriores,4,"No, estoy muy conforme.",Ninguno de los anteriores,0-2 años
Buenos Aires,Full-Time,Staff (planta permanente),2300000.0,2300000.0,False,Senior,HelpDesk,10,100% presencial,Hombre Cis,De 501 a 1000 personas,Ninguno de los anteriores,3,"No, pero escucho ofertas.",Ninguno de los anteriores,6-10 años
Neuquén,Full-Time,Staff (planta permanente),2100000.0,1700000.0,False,Semi-Senior,Developer,3,100% presencial,Hombre Cis,De 2 a 10 personas,"Bash/Shell, CSS, HTML, Python, SQL",1,"Sí, estoy buscando activamente.",Bash/Shell,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),5000050.0,,False,Semi-Senior,SysAdmin / DevOps / SRE,5,100% remoto,Hombre Cis,Más de 10000 personas,".NET, Go, Groovy, Java, Javascript, Python, SQL",2,"No, pero escucho ofertas.",.NET,3-5 años
Buenos Aires,Part-Time,Freelance,1800000.0,1800000.0,False,Senior,Functional Analyst,15,100% remoto,Mujer Cis,De 11  a 50  personas,SQL,2,"Sí, estoy buscando activamente.",SQL,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),6100000.0,4600000.0,False,Senior,Manager / Director,16,Híbrido (presencial y remoto),Mujer Cis,De 101 a 200 personas,Ninguno de los anteriores,4,"No, estoy muy conforme.",Ninguno de los anteriores,10+ años
San Luis,Full-Time,Staff (planta permanente),3500000.0,2900000.0,False,Semi-Senior,Developer,4,100% remoto,Hombre Cis,De 101 a 200 personas,"HTML, Javascript, SQL, TypeScript",3,"Sí, estoy buscando activamente.",HTML,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4200000.0,3300000.0,False,Semi-Senior,Developer,5,Híbrido (presencial y remoto),Hombre Cis,De 501 a 1000 personas,".NET, C, C#, CSS, HTML, SQL",3,"No, pero escucho ofertas.",.NET,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),7500000.0,5500000.0,False,Senior,Technical Leader,20,Híbrido (presencial y remoto),Hombre Cis,Más de 10000 personas,"Bash/Shell, Java, Javascript, Python, Smalltalk",3,"No, pero escucho ofertas.",Bash/Shell,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4883452.0,4249146.0,False,Senior,Developer,17,100% remoto,Hombre Cis,De 11  a 50  personas,"Bash/Shell, CSS, HTML, Javascript, PHP, Python, SQL, TypeScript",3,"No, pero escucho ofertas.",Bash/Shell,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),6620000.0,5300000.0,False,Senior,Manager / Director,16,Híbrido (presencial y remoto),Hombre Cis,De 1001 a 2000 personas,Ninguno de los anteriores,3,"No, pero escucho ofertas.",Ninguno de los anteriores,10+ años
Buenos Aires,Full-Time,Staff (planta permanente),2600000.0,2100000.0,False,Senior,QA / Tester,18,100% remoto,Hombre Cis,De 201 a 500 personas,Ninguno de los anteriores,2,"No, pero escucho ofertas.",Ninguno de los anteriores,10+ años
Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),720240.0,576192.0,False,Semi-Senior,Developer,4,Híbrido (presencial y remoto),Hombre Cis,De 51 a 100 personas,"Bash/Shell, Python, SQL",1,"No, pero escucho ofertas.",Bash/Shell,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3300000.0,2900000.0,False,Semi-Senior,Developer,4,Híbrido (presencial y remoto),Hombre Cis,Más de 10000 personas,".NET, C#, Javascript",3,"No, estoy muy conforme.",.NET,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1500000.0,1200000.0,False,Semi-Senior,HelpDesk,4,100% presencial,Hombre Cis,De 2 a 10 personas,Ninguno de los anteriores,2,"No, pero escucho ofertas.",Ninguno de los anteriores,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),8500000.0,5800000.0,False,Senior,Developer,20,100% remoto,Hombre Cis,Más de 10000 personas,"Go, Java, Python, SQL",2,"No, pero escucho ofertas.",Go,10+ años
Río Negro,Full-Time,Staff (planta permanente),5556885.0,4110325.0,False,Senior,Technical Leader,25,Híbrido (presencial y remoto),Hombre Cis,De 1001 a 2000 personas,"C++, Python",3,"No, pero escucho ofertas.",C++,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1919670.0,1573327.0,False,Senior,HelpDesk,7,Híbrido (presencial y remoto),Hombre Cis,De 101 a 200 personas,no,1,"No, pero escucho ofertas.",no,6-10 años
Buenos Aires,Full-Time,Staff (planta permanente),1700000.0,1200000.0,False,Semi-Senior,SysAdmin / DevOps / SRE,5,100% presencial,Hombre Cis,De 2 a 10 personas,Ninguno de los anteriores,1,"Sí, estoy buscando activamente.",Ninguno de los anteriores,3-5 años
Ciudad Autónoma de Buenos Aires,Part-Time,Tercerizado (trabajo a través de consultora o agencia),2041000.0,1673000.0,False,Semi-Senior,Developer,5,Híbrido (presencial y remoto),Mujer Cis,De 11  a 50  personas,"Bash/Shell, CSS, HTML, Java, Javascript, TypeScript",3,"No, pero escucho ofertas.",Bash/Shell,3-5 años
Córdoba,Full-Time,Tercerizado (trabajo a través de consultora o agencia),3110654.0,2483996.0,False,Semi-Senior,BI Analyst / Data Analyst,3,100% remoto,Hombre Cis,De 101 a 200 personas,Python,3,"No, pero escucho ofertas.",Python,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1685000.0,1398551.0,False,Senior,SysAdmin / DevOps / SRE,25,100% remoto,Hombre Cis,De 101 a 200 personas,SQL,1,"Sí, estoy buscando activamente.",SQL,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),6800000.0,4600000.0,False,Senior,Manager / Director,26,Híbrido (presencial y remoto),Hombre Cis,De 501 a 1000 personas,Ninguno de los anteriores,3,"No, pero escucho ofertas.",Ninguno de los anteriores,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1700000.0,1411000.0,False,Junior,Developer,2,Híbrido (presencial y remoto),Hombre Cis,De 51 a 100 personas,"CSS, HTML, Javascript, SQL, TypeScript",2,"No, pero escucho ofertas.",CSS,0-2 años
Córdoba,Full-Time,Staff (planta permanente),2500000.0,2075000.0,False,Semi-Senior,Data Engineer,5,100% remoto,Mujer Cis,De 11  a 50  personas,"Bash/Shell, Java, Python, SQL",2,"Sí, estoy buscando activamente.",Bash/Shell,3-5 años
Buenos Aires,Full-Time,Staff (planta permanente),1650000.0,1350000.0,False,Junior,Developer,1,Híbrido (presencial y remoto),Hombre Cis,De 11  a 50  personas,TypeScript,3,"No, pero escucho ofertas.",TypeScript,0-2 años
Buenos Aires,Full-Time,Staff (planta permanente),2460000.0,2069000.0,False,Senior,QA / Tester,6,100% remoto,Mujer Cis,De 201 a 500 personas,SQL,2,"No, pero escucho ofertas.",SQL,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1633917.0,1371152.0,False,Junior,Sales / Pre-Sales,2,Híbrido (presencial y remoto),Hombre Cis,De 11  a 50  personas,"Python, SQL",2,"Sí, estoy buscando activamente.",Python,0-2 años
Buenos Aires,Full-Time,Staff (planta permanente),2000000.0,1600000.0,False,Semi-Senior,Technical Writer,5,Híbrido (presencial y remoto),Hombre Cis,De 11  a 50  personas,Ninguno de los anteriores,1,"Sí, estoy buscando activamente.",Ninguno de los anteriores,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),8100000.0,5700000.0,False,Senior,Manager / Director,30,100% remoto,Hombre Cis,De 501 a 1000 personas,"PHP, SQL",3,"No, pero escucho ofertas.",PHP,10+ años
Salta,Full-Time,Staff (planta permanente),4719000.0,3280000.0,False,Senior,Manager / Director,6,Híbrido (presencial y remoto),Hombre Cis,De 1001 a 2000 personas,SQL,3,"No, pero escucho ofertas.",SQL,6-10 años
Río Negro,Full-Time,Staff (planta permanente),1815000.0,1506450.0,False,Junior,Developer,2,100% remoto,Mujer Cis,De 11  a 50  personas,"CSS, Java, Javascript, PHP, Python",2,"Sí, estoy buscando activamente.",CSS,0-2 años
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),3100000.0,2700000.0,False,Senior,Developer,15,100% remoto,Hombre Cis,De 51 a 100 personas,"CSS, HTML, Javascript, PHP",2,"No, pero escucho ofertas.",CSS,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),6800000.0,5400000.0,False,Senior,Architect,30,Híbrido (presencial y remoto),Hombre Cis,De 51 a 100 personas,"Bash/Shell, C#, HTML, Javascript, Python, SQL",3,"No, pero escucho ofertas.",Bash/Shell,10+ años
Salta,Full-Time,Staff (planta permanente),1791054.0,1544068.0,False,Junior,Developer,2,Híbrido (presencial y remoto),Hombre Cis,De 101 a 200 personas,"CSS, Dart, HTML, Javascript, PHP, Python, SQL",3,"No, pero escucho ofertas.",CSS,0-2 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3300000.0,2900000.0,False,Semi-Senior,UX Researcher,3,Híbrido (presencial y remoto),Hombre Cis,De 501 a 1000 personas,Python,2,"No, pero escucho ofertas.",Python,3-5 años
Córdoba,Full-Time,Staff (planta permanente),1100000.0,1050000.0,False,Semi-Senior,Developer,5,Híbrido (presencial y remoto),Hombre Cis,De 2 a 10 personas,"HTML, Javascript, PHP, SQL",1,"Sí, estoy buscando activamente.",HTML,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),7500000.0,6200000.0,False,Senior,Manager / Director,15,Híbrido (presencial y remoto),Hombre Cis,De 2001a 5000 personas,".NET, Bash/Shell, Java, Javascript, Python, SQL",3,"No, pero escucho ofertas.",.NET,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),8000000.0,5000000.0,False,Senior,Infosec,10,100% remoto,Hombre Cis,Más de 10000 personas,"Bash/Shell, SQL",3,"Sí, estoy buscando activamente.",Bash/Shell,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1700000.0,1400000.0,False,Semi-Senior,UX Researcher,3,Híbrido (presencial y remoto),Mujer Cis,De 51 a 100 personas,Ninguno de los anteriores,2,"No, pero escucho ofertas.",Ninguno de los anteriores,3-5 años
Buenos Aires,Full-Time,Freelance,4800000.0,4800000.0,False,Senior,SysAdmin / DevOps / SRE,24,100% remoto,Hombre Cis,De 11  a 50  personas,".NET, Bash/Shell, HTML, Java, Javascript, PHP, Python, SQL",4,"No, pero escucho ofertas.",.NET,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3800000.0,3200000.0,False,Semi-Senior,Data Engineer,5,Híbrido (presencial y remoto),Hombre Cis,Más de 10000 personas,Python,2,"No, pero escucho ofertas.",Python,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2100000.0,1800000.0,False,Senior,HelpDesk,18,Híbrido (presencial y remoto),Hombre Cis,De 501 a 1000 personas,Ninguno de los anteriores,3,"No, pero escucho ofertas.",Ninguno de los anteriores,10+ años
Buenos Aires,Full-Time,Contractor,1906000.0,1800000.0,False,Semi-Senior,Developer,4,100% remoto,Hombre Cis,De 51 a 100 personas,"HTML, Java",2,"No, pero escucho ofertas.",HTML,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4200000.0,3600000.0,False,Senior,Infosec,15,Híbrido (presencial y remoto),Hombre Cis,De 501 a 1000 personas,"Python, VBA",3,"Sí, estoy buscando activamente.",Python,10+ años
Santa Fe,Full-Time,Staff (planta permanente),1222294.28,1079398.56,False,Senior,Todo junto,20,100% presencial,Hombre Cis,De 101 a 200 personas,"SQL, ADBPL",3,"No, pero escucho ofertas.",SQL,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1338086.0,1100000.0,False,Semi-Senior,HelpDesk,5,100% remoto,Hombre Cis,De 101 a 200 personas,Ninguno de los anteriores,1,"Sí, estoy buscando activamente.",Ninguno de los anteriores,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3010283.0,2544601.0,False,Semi-Senior,BI Analyst / Data Analyst,4,100% remoto,Hombre Cis,Más de 10000 personas,"Python, SQL",2,"No, pero escucho ofertas.",Python,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2900000.0,,False,Senior,Developer,12,100% remoto,Hombre Cis,De 2 a 10 personas,"Arduino, Dart, HTML, Javascript",2,"No, pero escucho ofertas.",Arduino,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),3000000.0,2400000.0,False,Senior,Developer,6,Híbrido (presencial y remoto),Hombre Cis,De 201 a 500 personas,"CSS, HTML, Javascript, Python, SQL, TypeScript",1,"No, pero escucho ofertas.",CSS,6-10 años
Santa Fe,Full-Time,Staff (planta permanente),5000000.0,4100000.0,False,Senior,Architect,35,100% remoto,Hombre Cis,Más de 10000 personas,"Java, Javascript, SQL",3,"No, pero escucho ofertas.",Java,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,2366000.0,2366000.0,False,Semi-Senior,Developer,3,100% remoto,Hombre Cis,De 2 a 10 personas,"CSS, HTML, Javascript",2,"Sí, estoy buscando activamente.",CSS,3-5 años
Córdoba,Full-Time,Staff (planta permanente),3200000.0,2500000.0,False,Senior,DBA,6,100% remoto,Hombre Cis,Más de 10000 personas,"Bash/Shell, SQL",3,"Sí, estoy buscando activamente.",Bash/Shell,6-10 años
Buenos Aires,Full-Time,Staff (planta permanente),6500000.0,5700000.0,False,Senior,Manager / Director,6,Híbrido (presencial y remoto),Hombre Cis,De 2001a 5000 personas,"HTML, Javascript, PHP",4,"No, pero escucho ofertas.",HTML,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1826000.0,1515580.0,False,Semi-Senior,SysAdmin / DevOps / SRE,3,100% remoto,Hombre Cis,De 101 a 200 personas,Ninguno de los anteriores,2,"No, pero escucho ofertas.",Ninguno de los anteriores,3-5 años
Buenos Aires,Full-Time,Staff (planta permanente),1179000.0,1035000.0,False,Semi-Senior,Developer,4,100% presencial,Hombre Cis,De 101 a 200 personas,"Bash/Shell, CSS, HTML, Javascript, SQL, TypeScript",1,"Sí, estoy buscando activamente.",Bash/Shell,3-5 años
Río Negro,Part-Time,Staff (planta permanente),1511000.0,1225000.0,False,Junior,Developer,2,Híbrido (presencial y remoto),Hombre Cis,De 1001 a 2000 personas,"C++, Python",2,"No, pero escucho ofertas.",C++,0-2 años
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),3600000.0,3000000.0,False,Senior,UX Researcher,12,100% remoto,Mujer Cis,De 201 a 500 personas,Ninguno de los anteriores,3,"No, pero escucho ofertas.",Ninguno de los anteriores,10+ años
Buenos Aires,Part-Time,Contractor,750000.0,630000.0,False,Junior,Developer,1,100% presencial,Hombre Cis,De 201 a 500 personas,".NET, C#, CSS, HTML, Javascript, SQL, TypeScript",3,"No, pero escucho ofertas.",.NET,0-2 años
Buenos Aires,Full-Time,Staff (planta permanente),4360000.0,3618800.0,False,Senior,Developer,6,100% remoto,Hombre Cis,De 101 a 200 personas,"Javascript, Python, TypeScript",3,"No, estoy muy conforme.",Javascript,6-10 años
Neuquén,Part-Time,Staff (planta permanente),3182349.0,2698300.0,False,Senior,Developer,33,100% remoto,Hombre Cis,De 2 a 10 personas,"Bash/Shell, CSS, HTML, Java, Javascript, SQL",3,"No, pero escucho ofertas.",Bash/Shell,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1900000.0,1700000.0,False,Junior,UX/UI Designer,2,Híbrido (presencial y remoto),Mujer Cis,De 51 a 100 personas,"CSS, HTML",3,"No, pero escucho ofertas.",CSS,0-2 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),7600000.0,6200000.0,False,Senior,Manager / Director,25,100% remoto,Hombre Cis,De 1001 a 2000 personas,Ninguno de los anteriores,3,"No, pero escucho ofertas.",Ninguno de los anteriores,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2327000.0,1933000.0,False,Semi-Senior,Data Scientist,3,Híbrido (presencial y remoto),Hombre Cis,De 51 a 100 personas,"Python, R, SQL",2,"No, pero escucho ofertas.",Python,3-5 años
Santa Fe,Full-Time,Staff (planta permanente),7500000.0,5500000.0,False,Semi-Senior,Technical Leader,5,Híbrido (presencial y remoto),Hombre Cis,De 1001 a 2000 personas,"Java, Javascript, Gosu",3,"No, pero escucho ofertas.",Java,3-5 años
Buenos Aires,Full-Time,Staff (planta permanente),4000000.0,3400000.0,False,Senior,QA / Tester,15,100% remoto,Hombre Cis,De 5001 a 10000 personas,"Go, TypeScript",3,"No, estoy muy conforme.",Go,10+ años
Neuquén,Full-Time,Staff (planta permanente),4487000.0,3518000.0,False,Senior,Developer,8,100% remoto,Hombre Cis,De 1001 a 2000 personas,Javascript,2,"No, pero escucho ofertas.",Javascript,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2600000.0,2150000.0,False,Semi-Senior,Recruiter,5,Híbrido (presencial y remoto),Mujer Cis,De 51 a 100 personas,Ninguno de los anteriores,2,"No, estoy muy conforme.",Ninguno de los anteriores,3-5 años
Córdoba,Full-Time,Staff (planta permanente),4500000.0,3600000.0,False,Senior,Scrum Master,11,Híbrido (presencial y remoto),Hombre Cis,De 1001 a 2000 personas,"Java, SQL",2,"No, pero escucho ofertas.",Java,10+ años
Santa Fe,Full-Time,Staff (planta permanente),5858460.0,4700000.0,False,Senior,Manager / Director,25,Híbrido (presencial y remoto),Hombre Cis,De 201 a 500 personas,".NET, C#, CSS, HTML, Javascript, Python, SQL",2,"No, pero escucho ofertas.",.NET,10+ años
Misiones,Full-Time,Staff (planta permanente),4758310.0,3846867.0,False,Semi-Senior,Developer,4,100% remoto,No binarie,De 2001a 5000 personas,"Java, SQL, TypeScript",3,"No, pero escucho ofertas.",Java,3-5 años
Buenos Aires,Full-Time,Staff (planta permanente),1050000.0,1540000.0,False,Junior,Developer,0,Híbrido (presencial y remoto),Hombre Cis,De 1001 a 2000 personas,"CSS, HTML, SQL, TypeScript",3,"No, pero escucho ofertas.",CSS,0-2 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3400000.0,2700000.0,False,Junior,SysAdmin / DevOps / SRE,2,100% presencial,Hombre Cis,De 501 a 1000 personas,"HTML, PHP, Python",3,"No, pero escucho ofertas.",HTML,0-2 años
Formosa,Full-Time,Contractor,2383340.0,2017000.0,False,Senior,Developer,6,100% remoto,Hombre Cis,De 101 a 200 personas,"C#, CSS, HTML, Javascript, TypeScript",1,"Sí, estoy buscando activamente.",C#,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4900000.0,4200000.0,False,Senior,SysAdmin / DevOps / SRE,10,Híbrido (presencial y remoto),Hombre Cis,Más de 10000 personas,"C, Go, Groovy, Java, Javascript, Kotlin, Python",1,"No, pero escucho ofertas.",C,6-10 años
Córdoba,Full-Time,Staff (planta permanente),3068000.0,2546000.0,False,Semi-Senior,BI Analyst / Data Analyst,3,100% remoto,Hombre Cis,De 201 a 500 personas,SQL,2,"No, pero escucho ofertas.",SQL,3-5 años
Córdoba,Full-Time,Staff (planta permanente),2158500.0,1785140.0,False,Semi-Senior,SysAdmin / DevOps / SRE,4,Híbrido (presencial y remoto),Hombre Cis,De 51 a 100 personas,PHP,3,"No, pero escucho ofertas.",PHP,3-5 años
Entre Ríos,Full-Time,Tercerizado (trabajo a través de consultora o agencia),4171000.0,3371000.0,False,Senior,SysAdmin / DevOps / SRE,6,100% remoto,Hombre Cis,De 201 a 500 personas,"CSS, Go, HTML, Javascript, Python, SQL",2,"No, pero escucho ofertas.",CSS,6-10 años
Ciudad Autónoma de Buenos Aires,Part-Time,Freelance,2800000.0,,False,Senior,Docente,35,Híbrido (presencial y remoto),Mujer Cis,De 11  a 50  personas,"Arduino, HTML, PHP",1,"Sí, estoy buscando activamente.",Arduino,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1204000.0,1020000.0,False,Junior,Developer,2,Híbrido (presencial y remoto),Hombre Cis,De 501 a 1000 personas,"HTML, Javascript, TypeScript",2,"No, pero escucho ofertas.",HTML,0-2 años
