provincia,dedicacion,tipo_contrato,salario_bruto_ars,salario_neto_ars,sueldo_dolarizado,seniority,rol,anios_experiencia,modalidad,genero,tamanio_empresa,lenguajes,conformidad_ingresos,buscando_trabajo,lenguaje_principal,experiencia_bucket
Buenos Aires,Full-Time,Staff (planta permanente),4071365.0,3491069.0,True,Senior,Developer,6,100% remoto,Hombre Cis,De 101 a 200 personas,"Javascript, TypeScript",4,"No, pero escucho ofertas.",Javascript,6-10 años
Misiones,Full-Time,Staff (planta permanente),4500000.0,3136000.0,True,Semi-Senior,Manager / Director,5,Híbrido (presencial y remoto),Hombre Cis,De 11  a 50  personas,"Dart, Java, Python, TypeScript",2,"Sí, estoy buscando activamente.",Dart,3-5 años
Buenos Aires,Full-Time,Staff (planta permanente),6615000.0,5500000.0,True,Senior,Developer,10,100% remoto,Hombre Cis,De 101 a 200 personas,"Java, Kotlin, Python, Swift, TypeScript",4,"No, estoy muy conforme.",Java,6-10 años
Mendoza,Full-Time,Staff (planta permanente),3500000.0,2600000.0,True,Senior,SysAdmin / DevOps / SRE,25,100% remoto,Hombre Cis,Más de 10000 personas,"Bash/Shell, SQL, Ansible",3,"Sí, estoy buscando activamente.",Bash/Shell,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,4900000.0,4900000.0,True,Senior,SysAdmin / DevOps / SRE,13,100% remoto,Hombre Cis,De 201 a 500 personas,"Bash/Shell, PHP, Python",3,"No, pero escucho ofertas.",Bash/Shell,10+ años
San Luis,Full-Time,Staff (planta permanente),1824000.0,1514000.0,True,Junior,UX/UI Designer,2,Híbrido (presencial y remoto),Mujer Cis,De 51 a 100 personas,Ninguno de los anteriores,3,"No, pero escucho ofertas.",Ninguno de los anteriores,0-2 años
Córdoba,Full-Time,Staff (planta permanente),2000000.0,1660000.0,True,Senior,HRBP,10,Híbrido (presencial y remoto),Hombre Cis,De 101 a 200 personas,"Java, SQL",3,"No, pero escucho ofertas.",Java,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,7250000.0,7032000.0,True,Semi-Senior,Developer,3,100% remoto,Hombre Cis,De 2 a 10 personas,"Javascript, Python, Rust, Solidity, TypeScript",4,"No, estoy muy conforme.",Javascript,3-5 años
Buenos Aires,Full-Time,Staff (planta permanente),7700000.0,6600000.0,True,Senior,Developer,18,100% remoto,Hombre Cis,De 501 a 1000 personas,Java,4,"No, estoy muy conforme.",Java,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3642000.0,2044000.0,True,Senior,Manager / Director,30,Híbrido (presencial y remoto),Hombre Cis,De 5001 a 10000 personas,Ninguno de los anteriores,4,"No, pero escucho ofertas.",Ninguno de los anteriores,10+ años
Buenos Aires,Full-Time,Participación societaria en una cooperativa,2866436.18,2306812.44,True,Senior,Developer,6,100% remoto,Hombre Cis,De 101 a 200 personas,"HTML, Java, Javascript, SQL",3,"No, pero escucho ofertas.",HTML,6-10 años
Buenos Aires,Full-Time,Staff (planta permanente),3268000.0,2990000.0,True,Senior,Technical Leader,26,Híbrido (presencial y remoto),Hombre Cis,De 201 a 500 personas,"Bash/Shell, SQL, VBA",3,"No, pero escucho ofertas.",Bash/Shell,10+ años
